A,KC_A
B,KC_B
C,KC_C
D,KC_D
E,KC_E
F,KC_F
G,KC_G
H,KC_H
I,KC_I
J,KC_J
K,KC_K
L,KC_L
M,KC_M
N,KC_N
O,KC_O
P,KC_P
Q,KC_Q
R,KC_R
S,KC_S
T,KC_T
U,KC_U
V,KC_V
W,KC_W
X,KC_X
Y,KC_Y
Z,KC_Z
1,KC_1
2,KC_2
3,KC_3
4,KC_4
5,KC_5
6,KC_6
7,KC_7
8,KC_8
9,KC_9
0,KC_0
KEYPAD NUMLOCK,KC_NUMLOCK
KEYPAD SLASH,KC_KP_SLASH
KEYPAD ASTERISK,KC_KP_ASTERISK
KEYPAD MINUS,KC_KP_MINUS
KEYPAD PLUS,KC_KP_PLUS
KEYPAD ENTER,KC_KP_ENTER
KEYPAD DOT,KC_KP_DOT
KEYPAD EQUAL,KC_KP_EQUAL
KEYPAD COMMA,KC_KP_COMMA
KEYPAD 1,KC_KP_1
KEYPAD 2,KC_KP_2
KEYPAD 3,KC_KP_3
KEYPAD 4,KC_KP_4
KEYPAD 5,KC_KP_5
KEYPAD 6,KC_KP_6
KEYPAD 7,KC_KP_7
KEYPAD 8,KC_KP_8
KEYPAD 9,KC_KP_9
KEYPAD 0,KC_KP_0
F1,KC_F1
F2,KC_F2
F3,KC_F3
F4,KC_F4
F5,KC_F5
F6,KC_F6
F7,KC_F7
F8,KC_F8
F9,KC_F9
F10,KC_F10
F11,KC_F11
F12,KC_F12
ENTER,KC_ENTER
ESCAPE,KC_ESCAPE
BACKSPACE,KC_BSPACE
TAB,KC_TAB
SPACE,KC_SPACE
MINUS,KC_MINUS
EQUAL,KC_EQUAL
LEFT BRACKET,KC_LBRACKET
RIGHT BRACKET,KC_RBRACKET
BACKSLASH,KC_BSLASH
SEMICOLON,KC_SCOLON
QUOTE,KC_QUOTE
GRAVE,KC_GRAVE
COMMA,KC_COMMA
DOT,KC_DOT
SLASH,KC_SLASH
CAPS LOCK,KC_CAPSLOCK
LEFT CONTROL,KC_LCTRL
RIGHT CONTROL,KC_RCTRL
LEFT SHIFT,KC_LSHIFT
RIGHT SHIFT,KC_RSHIFT
LEFT ALT,KC_LALT
RIGHT ALT,KC_RALT
LEFT WINDOWS KEY,KC_LGUI
RIGHT WINDOWS KEY,KC_RGUI
PRINT SCREEN,KC_PSCREEN
SCROLL LOCK,KC_SCROLLLOCK
PAUSE,KC_PAUSE
INSERT,KC_INSERT
HOME,KC_HOME
PAGE UP,KC_PGUP
PAGE DOWN,KC_PGDOWN
DELETE,KC_DELETE
END,KC_END
RIGHT ARROW,KC_RIGHT
LEFT ARROW,KC_LEFT
DOWN ARROW,KC_DOWN
UP ARROW,KC_UP
APPLICATION,KC_APPLICATION
IGNORE,KC_NO
